
Host: adabbott

Timers On : Mon Sep  9 21:44:18 2019
Timers Off: Mon Sep  9 21:44:20 2019

Wall Time:        1.44 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| JK: JK                            :      0.000u      0.000s      0.000w     12 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     12 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     12 calls
HF: Form F                          :      0.000u      0.000s      0.000w     12 calls
HF: Form D                          :      0.000u      0.000s      0.000w     12 calls
HF: DIIS                            :      0.000u      0.000s      0.004w     10 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.000w     10 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.000w     10 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w     10 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w     10 calls
| | New vector                      :      0.000u      0.000s      0.000w     10 calls
HF: Form C                          :      0.017u      0.000s      0.000w     10 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      1 calls
Grad: S                             :      0.000u      0.000s      0.000w      1 calls
Grad: JK                            :      0.050u      0.000s      0.024w      1 calls
Grad: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.033u      0.000s      0.034w      1 calls
Hess: T                             :      0.000u      0.000s      0.000w      1 calls
Hess: S                             :      0.017u      0.000s      0.000w      1 calls
Hess: JK                            :      0.083u      0.000s      0.110w      1 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
JK: D                               :      0.000u      0.000s      0.000w    103 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    103 calls
JK: JK                              :      0.067u      0.000s      0.035w    103 calls
| PK computes JK                    :      0.067u      0.000s      0.035w    103 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    103 calls

**************************************************************************************

Host: adabbott

Timers On : Mon Sep  9 21:57:31 2019
Timers Off: Mon Sep  9 21:57:33 2019

Wall Time:        2.13 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.300u      0.000s      0.187w      8 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      8 calls
HF: Guess                           :      0.867u      0.000s      0.516w      8 calls
SAD Guess                           :      0.767u      0.000s      0.450w      8 calls
HF: Form G                          :      0.000u      0.000s      0.002w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.000u      0.000s      0.001w     48 calls
PK computes JK                      :      0.000u      0.000s      0.001w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.000u      0.000s      0.014w     40 calls
DIISManager::add_entry              :      0.000u      0.000s      0.001w     40 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.002w     40 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     40 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     40 calls
New vector                          :      0.000u      0.000s      0.000w     40 calls
HF: Form C                          :      0.000u      0.000s      0.001w     40 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.004w      8 calls
Grad: S                             :      0.017u      0.000s      0.001w      8 calls
Grad: JK                            :      0.317u      0.000s      0.187w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.300u      0.000s      0.187w      8 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      8 calls
HF: Guess                           :      0.867u      0.000s      0.516w      8 calls
| SAD Guess                         :      0.767u      0.000s      0.450w      8 calls
HF: Form G                          :      0.000u      0.000s      0.002w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.000u      0.000s      0.001w     48 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.000u      0.000s      0.014w     40 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w     40 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.002w     40 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     40 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     40 calls
| | New vector                      :      0.000u      0.000s      0.000w     40 calls
HF: Form C                          :      0.000u      0.000s      0.001w     40 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.004w      8 calls
Grad: S                             :      0.017u      0.000s      0.001w      8 calls
Grad: JK                            :      0.317u      0.000s      0.187w      8 calls
Grad: XC                            :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************

Host: adabbott

Timers On : Mon Sep  9 22:10:10 2019
Timers Off: Mon Sep  9 22:10:12 2019

Wall Time:        2.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.267u      0.000s      0.187w      8 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      8 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      8 calls
HF: Guess                           :      0.883u      0.000s      0.514w      8 calls
SAD Guess                           :      0.767u      0.000s      0.448w      8 calls
HF: Form G                          :      0.000u      0.000s      0.002w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
